회차,일자,번호1,번호2,번호3,번호4,번호5,번호6,보너스,1등 당첨자수,1등 당첨금액,총 판매금액
1016회,2022년05월21일,15,26,28,34,41,42,44,11,"2,260,660,671원","101,583,153,000원"
1017회,2022년05월28일,12,18,22,23,30,34,32,7,"3,517,684,822원","101,382,790,000원"
1018회,2022년06월04일,3,19,21,25,37,45,35,2,"12,361,744,688원","101,151,805,000원"
1019회,2022년06월11일,1,4,13,17,34,39,6,50,"438,565,140원","102,804,882,000원"
1020회,2022년06월18일,12,27,29,38,41,45,6,13,"1,966,431,520원","104,996,396,000원"
1021회,2022년06월25일,12,15,17,24,29,45,16,12,"2,108,962,250원","101,960,162,000원"
1022회,2022년07월02일,5,6,11,29,42,45,28,5,"4,866,468,075원","99,233,031,000원"
1023회,2022년07월09일,10,14,16,18,29,35,25,9,"2,745,677,875원","100,399,659,000원"
1024회,2022년07월16일,9,18,20,22,38,44,10,8,"3,020,323,500원","100,081,038,000원"
1025회,2022년07월23일,8,9,20,25,29,33,7,4,"6,118,853,344원","101,318,529,000원"
1026회,2022년07월30일,5,12,13,31,32,41,34,15,"1,619,118,475원","101,556,379,000원"
1027회,2022년08월06일,14,16,27,35,39,45,5,10,"2,460,504,338원","101,195,159,000원"
1028회,2022년08월13일,5,7,12,13,18,35,23,20,"1,181,235,132원","100,613,537,000원"
1029회,2022년08월20일,12,30,32,37,39,41,24,10,"2,527,848,450원","101,336,312,000원"
1030회,2022년08월27일,2,5,11,17,24,29,9,19,"1,276,406,507원","104,899,923,000원"
1031회,2022년09월03일,6,7,22,32,35,36,19,8,"3,213,957,563원","104,316,078,000원"
1032회,2022년09월10일,1,6,12,19,36,42,28,10,"2,675,257,538원","110,907,011,000원"
1033회,2022년09월17일,3,11,15,20,35,44,10,13,"1,913,414,943원","104,642,258,000원"
1034회,2022년09월24일,26,31,32,33,38,40,11,9,"2,868,856,209원","107,150,089,000원"
1035회,2022년10월01일,9,14,34,35,41,42,2,8,"3,231,193,735원","106,759,523,000원"
1036회,2022년10월08일,2,5,22,32,34,45,39,9,"2,837,323,167원","103,753,936,000원"
1037회,2022년10월15일,2,14,15,22,27,33,31,15,"1,708,576,825원","104,840,173,000원"
1038회,2022년10월22일,7,16,24,27,37,44,2,15,"1,627,457,225원","104,932,409,000원"
1039회,2022년10월29일,2,3,6,19,36,39,26,16,"1,585,019,672원","105,259,066,000원"
1040회,2022년11월05일,8,16,26,29,31,36,11,7,"3,660,482,625원","104,007,239,000원"
1041회,2022년11월12일,6,7,9,11,17,18,45,25,"935,091,165원","105,301,601,000원"
1042회,2022년11월19일,5,14,15,23,34,43,4,20,"1,240,663,669원","106,510,259,000원"
1043회,2022년11월26일,3,5,12,22,26,31,19,17,"1,468,646,956원","107,045,942,000원"
1044회,2022년12월03일,12,17,20,26,28,36,4,8,"3,136,941,235원","102,891,973,000원"
1045회,2022년12월10일,6,14,15,19,21,41,37,13,"1,990,060,443원","105,380,282,000원"
1046회,2022년12월17일,7,16,25,29,35,36,28,12,"2,011,415,719원","100,923,993,000원"
1047회,2022년12월24일,2,20,33,40,42,44,32,9,"2,748,797,875원","103,058,179,000원"
1048회,2022년12월31일,6,12,17,21,32,39,30,17,"1,612,494,508원","117,323,901,000원"
1049회,2023년01월07일,3,5,13,20,21,37,17,15,"1,727,810,100원","108,444,724,000원"
1050회,2023년01월14일,6,12,31,35,38,43,17,17,"1,535,083,280원","108,072,602,000원"
1051회,2023년01월21일,21,26,30,32,33,35,44,18,"1,669,558,480원","119,243,907,000원"
1052회,2023년01월28일,5,17,26,27,35,38,1,11,"2,341,682,762원","107,565,461,000원"
1053회,2023년02월04일,22,26,29,30,34,45,15,7,"4,090,367,411원","113,721,665,000원"
1054회,2023년02월11일,14,19,27,28,30,45,33,9,"3,147,925,709원","113,660,567,000원"
